entropy,participant,block,condition,category,ent_norm
1.5,ai,1,Mnemonic,green,0.75
2,ai,1,Mnemonic,purple,1
2,ai,1,Mnemonic,red,1
1.5,ai,2,Mnemonic,blue,0.75
1.5,ai,2,Mnemonic,green,0.75
1.5,ai,2,Mnemonic,purple,0.75
2,ai,2,Mnemonic,red,1
1,ai,3,Mnemonic,blue,0.5
1.5,ai,3,Mnemonic,green,0.75
1.5,ai,3,Mnemonic,purple,0.75
1.5,ai,3,Mnemonic,red,0.75
1.5,ba,0,Recall,blue,0.75
2,ba,0,Recall,green,1
2,ba,0,Recall,purple,1
0.811278124,ba,0,Recall,red,0.405639062
2,ba,1,Recall,blue,1
1.5,ba,1,Recall,green,0.75
2,ba,1,Recall,purple,1
1.5,ba,1,Recall,red,0.75
1.5,ba,2,Recall,blue,0.75
1,ba,2,Recall,green,0.5
2,ba,2,Recall,purple,1
2,ba,2,Recall,red,1
2,ba,3,Recall,blue,1
0.811278124,ba,3,Recall,green,0.405639062
2,ba,3,Recall,purple,1
1,ba,3,Recall,red,0.5
2,bb,0,Recall,blue,1
2,bb,0,Recall,green,1
0.811278124,bb,0,Recall,purple,0.405639062
2,bb,0,Recall,red,1
2,bb,1,Recall,blue,1
1.5,bb,1,Recall,green,0.75
2,bb,1,Recall,purple,1
1,bb,1,Recall,red,0.5
1.5,bb,2,Recall,blue,0.75
2,bb,2,Recall,green,1
2,bb,2,Recall,purple,1
2,bb,2,Recall,red,1
2,bb,3,Recall,blue,1
1.5,bb,3,Recall,green,0.75
1.5,bb,3,Recall,purple,0.75
2,bb,3,Recall,red,1
1,bc,0,Recall,blue,0.5
2,bc,0,Recall,green,1
2,bc,0,Recall,purple,1
2,bc,0,Recall,red,1
2,bc,1,Recall,blue,1
2,bc,1,Recall,green,1
1.5,bc,1,Recall,purple,0.75
2,bc,1,Recall,red,1
2,bc,2,Recall,blue,1
1.5,bc,2,Recall,green,0.75
0.811278124,bc,2,Recall,purple,0.405639062
2,bc,2,Recall,red,1
2,bc,3,Recall,blue,1
2,bc,3,Recall,green,1
2,bc,3,Recall,purple,1
2,bc,3,Recall,red,1
1.5,bd,0,Recall,blue,0.75
2,bd,0,Recall,green,1
2,bd,0,Recall,purple,1
1.5,bd,0,Recall,red,0.75
2,bd,1,Recall,blue,1
2,bd,1,Recall,green,1
1.5,bd,1,Recall,purple,0.75
2,bd,1,Recall,red,1
1.5,bd,2,Recall,blue,0.75
1.5,bd,2,Recall,green,0.75
1.5,bd,2,Recall,purple,0.75
2,bd,2,Recall,red,1
2,bd,3,Recall,blue,1
2,bd,3,Recall,green,1
2,bd,3,Recall,purple,1
1.5,bd,3,Recall,red,0.75
1.5,be,0,Recall,blue,0.75
1,be,0,Recall,green,0.5
0.811278124,be,0,Recall,purple,0.405639062
1.5,be,0,Recall,red,0.75
0.811278124,be,1,Recall,blue,0.405639062
1,be,1,Recall,green,0.5
1,be,1,Recall,purple,0.5
1,be,1,Recall,red,0.5
0.811278124,be,2,Recall,blue,0.405639062
1,be,2,Recall,green,0.5
