target,distractor1,distractor2,distractor3,symbol,response,selected,context,trial,block,condition,participant,response.new,num.array,category
red_4,blue_4,green_4,purple_4,s6,incorrect,blue_4,c4,51,3,Mnemonic,aa,0,4,red
green_2,blue_2,red_2,purple_2,s5,incorrect,blue_2,c2,52,3,Mnemonic,aa,0,4,green
purple_4,blue_4,green_4,red_4,s10,incorrect,red_4,c4,53,3,Mnemonic,aa,0,4,purple
green_3,blue_3,red_3,purple_3,s7,correct,green_3,c3,54,3,Mnemonic,aa,1,4,green
blue_3,green_3,red_3,purple_3,s6,correct,blue_3,c3,55,3,Mnemonic,aa,1,4,blue
purple_2,blue_2,green_2,red_2,s4,incorrect,red_2,c2,56,3,Mnemonic,aa,0,4,purple
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,57,3,Mnemonic,aa,1,4,red
red_3,blue_3,green_3,purple_3,s10,incorrect,green_3,c3,58,3,Mnemonic,aa,0,4,red
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,59,3,Mnemonic,aa,1,4,blue
purple_1,blue_1,green_1,red_1,s1,incorrect,blue_1,c1,60,3,Mnemonic,aa,0,4,purple
red_1,blue_1,green_1,purple_1,s16,correct,red_1,c1,61,3,Mnemonic,aa,1,4,red
green_1,blue_1,red_1,purple_1,s16,incorrect,purple_1,c1,62,3,Mnemonic,aa,0,4,green
blue_4,green_4,red_4,purple_4,s6,correct,blue_4,c4,63,3,Mnemonic,aa,1,4,blue
purple_4,blue_4,green_4,red_4,s9,incorrect,green_4,c4,0,0,Mnemonic,ab,0,4,purple
green_1,blue_1,red_1,purple_1,s13,correct,green_1,c1,1,0,Mnemonic,ab,1,4,green
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,2,0,Mnemonic,ab,1,4,red
red_3,blue_3,green_3,purple_3,s6,correct,red_3,c3,3,0,Mnemonic,ab,1,4,red
purple_1,blue_1,green_1,red_1,s14,correct,purple_1,c1,4,0,Mnemonic,ab,1,4,purple
blue_1,green_1,red_1,purple_1,s3,correct,blue_1,c1,5,0,Mnemonic,ab,1,4,blue
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,6,0,Mnemonic,ab,1,4,red
blue_4,green_4,red_4,purple_4,s7,correct,blue_4,c4,7,0,Mnemonic,ab,1,4,blue
purple_2,blue_2,green_2,red_2,s14,correct,purple_2,c2,8,0,Mnemonic,ab,1,4,purple
green_2,blue_2,red_2,purple_2,s13,correct,green_2,c2,9,0,Mnemonic,ab,1,4,green
blue_2,green_2,red_2,purple_2,s3,correct,blue_2,c2,10,0,Mnemonic,ab,1,4,blue
purple_3,blue_3,green_3,red_3,s6,incorrect,red_3,c3,11,0,Mnemonic,ab,0,4,purple
blue_3,green_3,red_3,purple_3,s3,correct,blue_3,c3,12,0,Mnemonic,ab,1,4,blue
green_3,blue_3,red_3,purple_3,s9,correct,green_3,c3,13,0,Mnemonic,ab,1,4,green
green_4,blue_4,red_4,purple_4,s9,correct,green_4,c4,14,0,Mnemonic,ab,1,4,green
red_4,blue_4,green_4,purple_4,s6,correct,red_4,c4,15,0,Mnemonic,ab,1,4,red
blue_4,green_4,red_4,purple_4,s7,correct,blue_4,c4,16,1,Mnemonic,ab,1,4,blue
purple_3,blue_3,green_3,red_3,s10,correct,purple_3,c3,17,1,Mnemonic,ab,1,4,purple
red_3,blue_3,green_3,purple_3,s6,correct,red_3,c3,18,1,Mnemonic,ab,1,4,red
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,19,1,Mnemonic,ab,1,4,red
green_2,blue_2,red_2,purple_2,s13,correct,green_2,c2,20,1,Mnemonic,ab,1,4,green
purple_4,blue_4,green_4,red_4,s6,incorrect,red_4,c4,21,1,Mnemonic,ab,0,4,purple
blue_3,green_3,red_3,purple_3,s3,correct,blue_3,c3,22,1,Mnemonic,ab,1,4,blue
red_4,blue_4,green_4,purple_4,s6,correct,red_4,c4,23,1,Mnemonic,ab,1,4,red
green_4,blue_4,red_4,purple_4,s9,correct,green_4,c4,24,1,Mnemonic,ab,1,4,green
