c.entropy,m.entropy,block,participant,condition,symbol,c.ent.norm
0,1,2,ak,Mnemonic,s7,0
0,1,3,ak,Mnemonic,s1,0
0,1,3,ak,Mnemonic,s5,0
0,0,3,ak,Mnemonic,s14,0
0,1.584962501,3,ak,Mnemonic,s10,0
0,1,3,ak,Mnemonic,s15,0
0,1,3,ak,Mnemonic,s11,0
0,1,3,ak,Mnemonic,s2,0
0,1,3,ak,Mnemonic,s7,0
0,0,0,al,Mnemonic,s1,0
0,0,0,al,Mnemonic,s2,0
0,0,0,al,Mnemonic,s4,0
0,0,0,al,Mnemonic,s8,0
0,0,0,al,Mnemonic,s13,0
0,0,0,al,Mnemonic,s5,0
0,1,0,al,Mnemonic,s14,0
0,0,0,al,Mnemonic,s11,0
0,0,0,al,Mnemonic,s7,0
0,0,0,al,Mnemonic,s12,0
0.918295834,1.584962501,0,al,Mnemonic,s16,0.459147917
0,0,0,al,Mnemonic,s15,0
0,0,0,al,Mnemonic,s13,0
0,0,1,al,Mnemonic,s3,0
0,0,1,al,Mnemonic,s4,0
0,1,1,al,Mnemonic,s2,0
1,1,1,al,Mnemonic,s15,0.5
0,0,1,al,Mnemonic,s13,0
1,2,1,al,Mnemonic,s14,0.5
0,0,1,al,Mnemonic,s5,0
0,0,1,al,Mnemonic,s11,0
0,0,1,al,Mnemonic,s10,0
0,0,1,al,Mnemonic,s12,0
0,0,1,al,Mnemonic,s16,0
0,0,2,al,Mnemonic,s3,0
0,1,2,al,Mnemonic,s4,0
0,0,2,al,Mnemonic,s2,0
0,0,2,al,Mnemonic,s5,0
0,0,2,al,Mnemonic,s7,0
0,1,2,al,Mnemonic,s8,0
0,1,2,al,Mnemonic,s11,0
0,0,2,al,Mnemonic,s9,0
0,0,2,al,Mnemonic,s12,0
0,0,2,al,Mnemonic,s15,0
0,0,2,al,Mnemonic,s13,0
0,1,2,al,Mnemonic,s16,0
0,1,3,al,Mnemonic,s1,0
0,0,3,al,Mnemonic,s4,0
0,0,3,al,Mnemonic,s2,0
0,0,3,al,Mnemonic,s7,0
0,1,3,al,Mnemonic,s5,0
0,0,3,al,Mnemonic,s8,0
0,0,3,al,Mnemonic,s9,0
0,0,3,al,Mnemonic,s11,0
0,1,3,al,Mnemonic,s12,0
0,0,3,al,Mnemonic,s15,0
0,0,3,al,Mnemonic,s13,0
0,1,3,al,Mnemonic,s16,0
1,2,0,am,Mnemonic,s8,0.5
0,0,0,am,Mnemonic,s3,0
0,0,0,am,Mnemonic,s7,0
0,1.584962501,0,am,Mnemonic,s2,0
0,0,0,am,Mnemonic,s6,0
0.918295834,1.584962501,0,am,Mnemonic,s9,0.459147917
0,0,0,am,Mnemonic,s7,0
0,0,0,am,Mnemonic,s11,0
0,0,0,am,Mnemonic,s4,0
0.811278124,2,1,am,Mnemonic,s8,0.405639062
0,0,1,am,Mnemonic,s12,0
0,1.584962501,1,am,Mnemonic,s2,0
0,0,1,am,Mnemonic,s6,0
0,0,1,am,Mnemonic,s15,0
0,0,1,am,Mnemonic,s13,0
0.918295834,1.584962501,1,am,Mnemonic,s5,0.459147917
0,1,1,am,Mnemonic,s4,0
0.970950594,2.321928095,2,am,Mnemonic,s8,0.485475297
0,0,2,am,Mnemonic,s12,0
0,1,2,am,Mnemonic,s2,0
0,1,2,am,Mnemonic,s6,0
0,0,2,am,Mnemonic,s5,0
0,1,2,am,Mnemonic,s13,0
0,0,2,am,Mnemonic,s7,0
0,1,2,am,Mnemonic,s4,0
0,1,3,am,Mnemonic,s4,0
0,0,3,am,Mnemonic,s8,0
0,0,3,am,Mnemonic,s9,0
0,1,3,am,Mnemonic,s2,0
0,0,3,am,Mnemonic,s6,0
0,0,3,am,Mnemonic,s10,0
0,0,3,am,Mnemonic,s15,0
0,0,3,am,Mnemonic,s7,0
0,1,3,am,Mnemonic,s5,0
0,1.584962501,3,am,Mnemonic,s4,0
0,0,3,am,Mnemonic,s13,0
0,0,0,an,Mnemonic,s2,0
0,1,0,an,Mnemonic,s16,0
0,0,0,an,Mnemonic,s15,0
0,0,0,an,Mnemonic,s9,0
0,0,0,an,Mnemonic,s1,0
0,0,0,an,Mnemonic,s14,0
0,0,0,an,Mnemonic,s5,0
0,1.584962501,0,an,Mnemonic,s4,0
0,0,0,an,Mnemonic,s3,0
0,1,0,an,Mnemonic,s13,0
0,1,0,an,Mnemonic,s9,0
0,1.584962501,1,an,Mnemonic,s16,0
0,0,1,an,Mnemonic,s6,0
0,1,1,an,Mnemonic,s1,0
0,1,1,an,Mnemonic,s5,0
0,1,1,an,Mnemonic,s4,0
0,0,1,an,Mnemonic,s8,0
0,0,1,an,Mnemonic,s15,0
0,1,1,an,Mnemonic,s13,0
0,1,1,an,Mnemonic,s9,0
0,0,2,an,Mnemonic,s2,0
0,1.584962501,2,an,Mnemonic,s16,0
0,1,2,an,Mnemonic,s1,0
0,1,2,an,Mnemonic,s5,0
0,1.584962501,2,an,Mnemonic,s4,0
0,0,2,an,Mnemonic,s15,0
0,1,2,an,Mnemonic,s13,0
0,1,2,an,Mnemonic,s10,0
0,0,3,an,Mnemonic,s2,0
0,1,3,an,Mnemonic,s16,0
0,0,3,an,Mnemonic,s12,0
0,1,3,an,Mnemonic,s1,0
0,1,3,an,Mnemonic,s5,0
0,1.584962501,3,an,Mnemonic,s4,0
0,0,3,an,Mnemonic,s15,0
0,1,3,an,Mnemonic,s13,0
0,0,3,an,Mnemonic,s9,0
0,0,3,an,Mnemonic,s10,0
0,1,0,ao,Mnemonic,s1,0
0,0,0,ao,Mnemonic,s11,0
0,0,0,ao,Mnemonic,s8,0
0,0,0,ao,Mnemonic,s2,0
0,0,0,ao,Mnemonic,s12,0
0,0,0,ao,Mnemonic,s4,0
0,0,0,ao,Mnemonic,s3,0
1,1,0,ao,Mnemonic,s6,0.5
0,0,0,ao,Mnemonic,s7,0
0,1,0,ao,Mnemonic,s13,0
0,0,0,ao,Mnemonic,s16,0
0,0,0,ao,Mnemonic,s10,0
0,0,0,ao,Mnemonic,s15,0
0,1,1,ao,Mnemonic,s2,0
0,0,1,ao,Mnemonic,s4,0
0,0,1,ao,Mnemonic,s7,0
0,1,1,ao,Mnemonic,s5,0
0,0,1,ao,Mnemonic,s3,0
0,0,1,ao,Mnemonic,s1,0
0,0,1,ao,Mnemonic,s10,0
0,1,1,ao,Mnemonic,s15,0
0,0,1,ao,Mnemonic,s9,0
0,1,1,ao,Mnemonic,s13,0
0,1,1,ao,Mnemonic,s14,0
0.721928095,2.321928095,2,ao,Mnemonic,s2,0.360964048
0.811278124,2,2,ao,Mnemonic,s1,0.405639062
0,1,2,ao,Mnemonic,s3,0
0,0,2,ao,Mnemonic,s16,0
1,1,2,ao,Mnemonic,s15,0.5
0,1,2,ao,Mnemonic,s13,0
0,2,3,ao,Mnemonic,s2,0
0,2,3,ao,Mnemonic,s1,0
0,2,3,ao,Mnemonic,s16,0
0,2,3,ao,Mnemonic,s13,0
1.584962501,1.584962501,0,ba,Recall,s2,0.792481251
1,1,0,ba,Recall,s14,0.5
0,1,0,ba,Recall,s9,0
0,0,0,ba,Recall,s8,0
0,0,0,ba,Recall,s6,0
0,0,0,ba,Recall,s3,0
1,1,0,ba,Recall,s16,0.5
0,0,0,ba,Recall,s15,0
0,1.584962501,0,ba,Recall,s1,0
0,0,1,ba,Recall,s8,0
0,0,1,ba,Recall,s6,0
0,0,1,ba,Recall,s10,0
1,1,1,ba,Recall,s9,0.5
0,0,1,ba,Recall,s2,0
0.918295834,1.584962501,1,ba,Recall,s15,0.459147917
0,0,1,ba,Recall,s4,0
0,0,1,ba,Recall,s11,0
0,0,1,ba,Recall,s7,0
0,0,1,ba,Recall,s14,0
0,1,1,ba,Recall,s1,0
0,0,1,ba,Recall,s13,0
1.584962501,1.584962501,2,ba,Recall,s5,0.792481251
0,1,2,ba,Recall,s2,0
0,0,2,ba,Recall,s16,0
0,1,2,ba,Recall,s15,0
0,1,2,ba,Recall,s13,0
0,0,2,ba,Recall,s14,0
0,0,2,ba,Recall,s12,0
0,0,2,ba,Recall,s7,0
0,0,2,ba,Recall,s1,0
0,0,2,ba,Recall,s3,0
0,0,2,ba,Recall,s8,0
0,0,3,ba,Recall,s2,0
0,0,3,ba,Recall,s6,0
0,0,3,ba,Recall,s8,0
0,0,3,ba,Recall,s12,0
0,1.584962501,3,ba,Recall,s13,0
0,0,3,ba,Recall,s9,0
0,0,3,ba,Recall,s1,0
0,0,3,ba,Recall,s15,0
0,0,3,ba,Recall,s14,0
0,0,3,ba,Recall,s11,0
0,1,3,ba,Recall,s1,0
0,1,3,ba,Recall,s7,0
0,0,0,bb,Recall,s1,0
0,0,0,bb,Recall,s8,0
0,0,0,bb,Recall,s10,0
0,0,0,bb,Recall,s12,0
0,0,0,bb,Recall,s14,0
0.811278124,2,0,bb,Recall,s4,0.405639062
1,1,0,bb,Recall,s3,0.5
0,0,0,bb,Recall,s6,0
1,1,0,bb,Recall,s2,0.5
0,0,0,bb,Recall,s5,0
0,0,0,bb,Recall,s13,0
1.5,2,1,bb,Recall,s3,0.75
0,0,1,bb,Recall,s14,0
0,0,1,bb,Recall,s6,0
0.918295834,1.584962501,1,bb,Recall,s1,0.459147917
1,1,1,bb,Recall,s4,0.5
1,1.584962501,1,bb,Recall,s2,0.5
0,0,1,bb,Recall,s9,0
0,0,1,bb,Recall,s15,0
1,1,2,bb,Recall,s11,0.5
0,1,2,bb,Recall,s2,0
2,2,2,bb,Recall,s4,1
1,1,2,bb,Recall,s1,0.5
0,0,2,bb,Recall,s5,0
0,0,2,bb,Recall,s16,0
0,0,2,bb,Recall,s10,0
0,0,2,bb,Recall,s9,0
0,0,2,bb,Recall,s3,0
0,0,2,bb,Recall,s7,0
0,0,3,bb,Recall,s6,0
1,1,3,bb,Recall,s9,0.5
1.921928095,2.321928095,3,bb,Recall,s1,0.960964048
0,0,3,bb,Recall,s8,0
1,1,3,bb,Recall,s16,0.5
0,0,3,bb,Recall,s3,0
0.918295834,1.584962501,3,bb,Recall,s12,0.459147917
0,0,3,bb,Recall,s2,0
1.5,2,0,bc,Recall,s12,0.75
0.918295834,1.584962501,0,bc,Recall,s14,0.459147917
0,0,0,bc,Recall,s13,0
0,0,0,bc,Recall,s3,0
0,0,0,bc,Recall,s5,0
1,1,0,bc,Recall,s1,0.5
0,0,0,bc,Recall,s7,0
0,0,0,bc,Recall,s9,0
0,0,0,bc,Recall,s15,0
0,0,0,bc,Recall,s2,0
1,1,1,bc,Recall,s15,0.5
1,1,1,bc,Recall,s14,0.5
1,1,1,bc,Recall,s11,0.5
1,1,1,bc,Recall,s8,0.5
0,0,1,bc,Recall,s2,0
0,0,1,bc,Recall,s10,0
0,1,1,bc,Recall,s5,0
0,0,1,bc,Recall,s6,0
0,0,1,bc,Recall,s12,0
0,0,1,bc,Recall,s9,0
0,0,1,bc,Recall,s1,0
1,1,2,bc,Recall,s16,0.5
0,0,2,bc,Recall,s10,0
0,0,2,bc,Recall,s4,0
0.918295834,1.584962501,2,bc,Recall,s1,0.459147917
1.370950594,2.321928095,2,bc,Recall,s7,0.685475297
0,0,2,bc,Recall,s13,0
0,0,2,bc,Recall,s14,0
0,0,2,bc,Recall,s6,0
0,0,2,bc,Recall,s4,0
0,0,3,bc,Recall,s4,0
0,0,3,bc,Recall,s14,0
0,0,3,bc,Recall,s6,0
1,1,3,bc,Recall,s1,0.5
1,1,3,bc,Recall,s12,0.5
1,1,3,bc,Recall,s2,0.5
1,1,3,bc,Recall,s13,0.5
0,0,3,bc,Recall,s7,0
0,0,3,bc,Recall,s11,0
0,0,3,bc,Recall,s9,0
0,0,3,bc,Recall,s15,0
0,0,3,bc,Recall,s16,0
0,1,0,bd,Recall,s2,0
1,1,0,bd,Recall,s1,0.5
1.584962501,1.584962501,0,bd,Recall,s14,0.792481251
0,0,0,bd,Recall,s3,0
0.918295834,1.584962501,0,bd,Recall,s4,0.459147917
1,1,0,bd,Recall,s16,0.5
0,0,0,bd,Recall,s5,0
0,0,0,bd,Recall,s10,0
0,0,0,bd,Recall,s15,0
1.5,2,1,bd,Recall,s15,0.75
0,0,1,bd,Recall,s4,0
1,1,1,bd,Recall,s14,0.5
1,1,1,bd,Recall,s6,0.5
0,0,1,bd,Recall,s8,0
1,1,1,bd,Recall,s1,0.5
0,0,1,bd,Recall,s11,0
0,0,1,bd,Recall,s3,0
0,0,1,bd,Recall,s2,0
0,0,1,bd,Recall,s16,0
1,1,2,bd,Recall,s3,0.5
0,1,2,bd,Recall,s11,0
0,0,2,bd,Recall,s14,0
1,2,2,bd,Recall,s2,0.5
0,0,2,bd,Recall,s7,0
1,1,2,bd,Recall,s15,0.5
0,0,2,bd,Recall,s13,0
0,0,2,bd,Recall,s1,0
0,0,2,bd,Recall,s12,0
0,0,2,bd,Recall,s10,0
0,0,3,bd,Recall,s1,0
1,1,3,bd,Recall,s4,0.5
0,0,3,bd,Recall,s11,0
0,0,3,bd,Recall,s15,0
0.918295834,1.584962501,3,bd,Recall,s2,0.459147917
0,0,3,bd,Recall,s3,0
0,0,3,bd,Recall,s5,0
0,0,3,bd,Recall,s13,0
0,0,3,bd,Recall,s9,0
0,0,3,bd,Recall,s14,0
0,0,3,bd,Recall,s10,0
1,1,3,bd,Recall,s16,0.5
0,1,0,be,Recall,s3,0
0,0,0,be,Recall,s12,0
0,0,0,be,Recall,s7,0
0,1,0,be,Recall,s2,0
0,1,0,be,Recall,s6,0
0,1.584962501,0,be,Recall,s13,0
0,0,0,be,Recall,s9,0
0,1,0,be,Recall,s1,0
0,1,0,be,Recall,s5,0
0,0,1,be,Recall,s3,0
0,1.584962501,1,be,Recall,s7,0
0,1,1,be,Recall,s2,0
0,1,1,be,Recall,s6,0
0,1,1,be,Recall,s13,0
0,1,1,be,Recall,s9,0
0,1,1,be,Recall,s1,0
0,1,1,be,Recall,s5,0
0,0,2,be,Recall,s3,0
0,1.584962501,2,be,Recall,s7,0
0,1,2,be,Recall,s2,0
0,1,2,be,Recall,s6,0
0,1,2,be,Recall,s13,0
0,1,2,be,Recall,s9,0
0,0,2,be,Recall,s1,0
0,1.584962501,2,be,Recall,s5,0
0,0,3,be,Recall,s3,0
0,0,3,be,Recall,s11,0
0,1,3,be,Recall,s7,0
0,1,3,be,Recall,s2,0
0,1,3,be,Recall,s6,0
0,1,3,be,Recall,s13,0
0,1,3,be,Recall,s9,0
0,0,3,be,Recall,s1,0
0,1.584962501,3,be,Recall,s5,0
0,1,0,bf,Recall,s13,0
0,1,0,bf,Recall,s9,0
0.918295834,1.584962501,0,bf,Recall,s7,0.459147917
0,0,0,bf,Recall,s16,0
0,0,0,bf,Recall,s11,0
0,0,0,bf,Recall,s14,0
0,0,0,bf,Recall,s6,0
1,1,0,bf,Recall,s1,0.5
0,0,0,bf,Recall,s10,0
0,0,0,bf,Recall,s8,0
0,0,0,bf,Recall,s4,0
0,1,1,bf,Recall,s13,0
0,1,1,bf,Recall,s9,0
1,1,1,bf,Recall,s14,0.5
0,0,1,bf,Recall,s15,0
0,0,1,bf,Recall,s10,0
0,0,1,bf,Recall,s11,0
0,0,1,bf,Recall,s16,0
0,1,1,bf,Recall,s12,0
0,1,1,bf,Recall,s1,0
0,1,1,bf,Recall,s5,0
0,1,2,bf,Recall,s13,0
0,1,2,bf,Recall,s9,0
0,1.584962501,2,bf,Recall,s16,0
0,0,2,bf,Recall,s15,0
0,1,2,bf,Recall,s11,0
0,1,2,bf,Recall,s12,0
0,1,2,bf,Recall,s1,0
0,1,2,bf,Recall,s5,0
0,1,3,bf,Recall,s13,0
0,0,3,bf,Recall,s9,0
0,0,3,bf,Recall,s6,0
0,0,3,bf,Recall,s15,0
0.918295834,1.584962501,3,bf,Recall,s16,0.459147917
0,0,3,bf,Recall,s11,0
1,1,3,bf,Recall,s10,0.5
0,0,3,bf,Recall,s12,0
0,1,3,bf,Recall,s1,0
0,0,3,bf,Recall,s5,0
0,0,3,bf,Recall,s2,0
1.561278124,3,0,bg,Recall,s4,0.780639062
1.75,3,0,bg,Recall,s3,0.875
0.811278124,2,1,bg,Recall,s3,0.405639062
1,1,1,bg,Recall,s8,0.5
1.459147917,2.584962501,1,bg,Recall,s4,0.729573959
0,0,1,bg,Recall,s16,0
0,0,1,bg,Recall,s11,0
0,0,1,bg,Recall,s5,0
0,0,1,bg,Recall,s10,0
0,0,2,bg,Recall,s6,0
1.521928095,2.321928095,2,bg,Recall,s1,0.760964048
1,1,2,bg,Recall,s4,0.5
0,0,2,bg,Recall,s13,0
0,0,2,bg,Recall,s16,0
0,0,2,bg,Recall,s10,0
0,0,2,bg,Recall,s5,0
1,1,2,bg,Recall,s12,0.5
0,0,2,bg,Recall,s9,0
0,0,2,bg,Recall,s3,0
0,0,3,bg,Recall,s13,0
1.584962501,1.584962501,3,bg,Recall,s12,0.792481251
1,1,3,bg,Recall,s15,0.5
0,0,3,bg,Recall,s9,0
0,0,3,bg,Recall,s2,0
0,0,3,bg,Recall,s4,0
0,0,3,bg,Recall,s7,0
1,1,3,bg,Recall,s16,0.5
1,1,3,bg,Recall,s3,0.5
0,0,3,bg,Recall,s8,0
0,0,3,bg,Recall,s10,0
0,1,0,bh,Recall,s2,0
0,1,0,bh,Recall,s6,0
0,0,0,bh,Recall,s4,0
0,0,0,bh,Recall,s8,0
0,0,0,bh,Recall,s7,0
0,0,0,bh,Recall,s12,0
0,1,0,bh,Recall,s13,0
0,1,0,bh,Recall,s9,0
0,1,0,bh,Recall,s1,0
0,1,0,bh,Recall,s5,0
0,1,1,bh,Recall,s2,0
0,1,1,bh,Recall,s6,0
0,1,1,bh,Recall,s4,0
0,1,1,bh,Recall,s8,0
0,1.584962501,1,bh,Recall,s13,0
0,0,1,bh,Recall,s9,0
0,1,1,bh,Recall,s1,0
0,1,1,bh,Recall,s5,0
0,1,2,bh,Recall,s2,0
0,1,2,bh,Recall,s6,0
0,1,2,bh,Recall,s4,0
0.918295834,1.584962501,2,bh,Recall,s8,0.459147917
0,1,2,bh,Recall,s13,0
0,1,2,bh,Recall,s9,0
0,1,2,bh,Recall,s1,0
0,0,2,bh,Recall,s5,0
0,1,3,bh,Recall,s2,0
0,1,3,bh,Recall,s6,0
0,1,3,bh,Recall,s4,0
0,1,3,bh,Recall,s8,0
0,1,3,bh,Recall,s13,0
0,1,3,bh,Recall,s9,0
0,1,3,bh,Recall,s1,0
0,1,3,bh,Recall,s5,0
0,0,0,bi,Recall,s6,0
0,0,0,bi,Recall,s10,0
0,0,0,bi,Recall,s2,0
1,1,0,bi,Recall,s13,0.5
1,1,0,bi,Recall,s5,0.5
0,0,0,bi,Recall,s9,0
0,0,0,bi,Recall,s4,0
0,0,0,bi,Recall,s8,0
0,0,0,bi,Recall,s1,0
0.918295834,1.584962501,0,bi,Recall,s12,0.459147917
0,0,0,bi,Recall,s3,0
0,0,0,bi,Recall,s14,0
1,1,1,bi,Recall,s3,0.5
1,1,1,bi,Recall,s11,0.5
0.918295834,1.584962501,1,bi,Recall,s8,0.459147917
0,0,1,bi,Recall,s12,0
0,0,1,bi,Recall,s15,0
0,0,1,bi,Recall,s4,0
0,0,1,bi,Recall,s2,0
0,1,1,bi,Recall,s6,0
0,0,1,bi,Recall,s5,0
0,0,1,bi,Recall,s16,0
0,0,1,bi,Recall,s14,0
1,1,2,bi,Recall,s11,0.5
0,1,2,bi,Recall,s13,0
1,1,2,bi,Recall,s14,0.5
1,1,2,bi,Recall,s15,0.5
0.918295834,1.584962501,2,bi,Recall,s6,0.459147917
1,1,2,bi,Recall,s4,0.5
0,1,2,bi,Recall,s2,0
0,0,2,bi,Recall,s5,0
0,0,3,bi,Recall,s6,0
0.918295834,1.584962501,3,bi,Recall,s13,0.459147917
1,1,3,bi,Recall,s8,0.5
1.584962501,1.584962501,3,bi,Recall,s16,0.792481251
0.918295834,1.584962501,3,bi,Recall,s2,0.459147917
0,0,3,bi,Recall,s10,0
1,1,3,bi,Recall,s1,0.5
0,0,3,bi,Recall,s3,0
1,2,0,bj,Recall,s3,0.5
0,0,0,bj,Recall,s7,0
1.584962501,1.584962501,0,bj,Recall,s6,0.792481251
0,2,0,bj,Recall,s13,0
0,0,0,bj,Recall,s8,0
0,0,0,bj,Recall,s2,0
0,0,0,bj,Recall,s4,0
0,0,0,bj,Recall,s16,0
0.918295834,1.584962501,1,bj,Recall,s4,0.459147917
0,0,1,bj,Recall,s1,0
0.918295834,1.584962501,1,bj,Recall,s7,0.459147917
0,1,1,bj,Recall,s13,0
0,0,1,bj,Recall,s12,0
0,0,1,bj,Recall,s9,0
1,1,1,bj,Recall,s5,0.5
0,0,1,bj,Recall,s11,0
1,1,1,bj,Recall,s8,0.5
0.918295834,1.584962501,2,bj,Recall,s3,0.459147917
0,0,2,bj,Recall,s8,0
1.584962501,1.584962501,2,bj,Recall,s9,0.792481251
0,0,2,bj,Recall,s15,0
1,1,2,bj,Recall,s12,0.5
0,0,2,bj,Recall,s11,0
0,0,2,bj,Recall,s2,0
1,1,2,bj,Recall,s4,0.5
0,0,2,bj,Recall,s7,0
0,0,2,bj,Recall,s6,0
0,0,3,bj,Recall,s4,0
0.918295834,1.584962501,3,bj,Recall,s6,0.459147917
1.584962501,1.584962501,3,bj,Recall,s8,0.792481251
1,1,3,bj,Recall,s3,0.5
0.918295834,1.584962501,3,bj,Recall,s7,0.459147917
0,0,3,bj,Recall,s11,0
0.918295834,1.584962501,3,bj,Recall,s2,0.459147917
0,2,0,bk,Recall,s2,0
0.721928095,2.321928095,0,bk,Recall,s3,0.360964048
0,0,0,bk,Recall,s13,0
0,0,0,bk,Recall,s16,0
0.721928095,2.321928095,0,bk,Recall,s1,0.360964048
0,0,1,bk,Recall,s15,0
1,2,1,bk,Recall,s1,0.5
1.584962501,1.584962501,1,bk,Recall,s2,0.792481251
0,1,1,bk,Recall,s3,0
1,1,1,bk,Recall,s13,0.5
0,0,1,bk,Recall,s3,0
0,1,1,bk,Recall,s4,0
0,0,1,bk,Recall,s5,0
0,0,2,bk,Recall,s3,0
1.5,2,2,bk,Recall,s2,0.75
1.584962501,1.584962501,2,bk,Recall,s16,0.792481251
1.918295834,2.584962501,2,bk,Recall,s1,0.959147917
0,0,2,bk,Recall,s13,0
0,0,2,bk,Recall,s4,0
1.378783493,2.807354922,3,bk,Recall,s2,0.689391747
1.584962501,1.584962501,3,bk,Recall,s1,0.792481251
1.584962501,1.584962501,3,bk,Recall,s3,0.792481251
0,0,3,bk,Recall,s13,0
0,0,3,bk,Recall,s4,0
0,0,3,bk,Recall,s14,0
1.521928095,2.321928095,0,bl,Recall,s2,0.760964048
1.521928095,2.321928095,0,bl,Recall,s1,0.760964048
0.721928095,2.321928095,0,bl,Recall,s13,0.360964048
0,0,0,bl,Recall,s14,0
1.846439345,3.700439718,1,bl,Recall,s2,0.923219673
1.459147917,1.584962501,1,bl,Recall,s1,0.729573959
1.950063756,3.700439718,2,bl,Recall,s1,0.975031878
0.918295834,1.584962501,2,bl,Recall,s2,0.459147917
2,3,3,bl,Recall,s1,1
1.921928095,2,3,bl,Recall,s2,0.960964048
1.584962501,1.584962501,3,bl,Recall,s14,0.792481251
0,1,0,bm,Recall,s10,0
0,0,0,bm,Recall,s3,0
1,1,0,bm,Recall,s12,0.5
0,2,0,bm,Recall,s13,0
0,0,0,bm,Recall,s11,0
0,0,0,bm,Recall,s1,0
0.918295834,1.584962501,0,bm,Recall,s2,0.459147917
0,0,0,bm,Recall,s14,0
0,0,0,bm,Recall,s8,0
0,0,1,bm,Recall,s10,0
0,0,1,bm,Recall,s5,0
0,0,1,bm,Recall,s11,0
0.918295834,1.584962501,1,bm,Recall,s6,0.459147917
0,2,1,bm,Recall,s13,0
0,0,1,bm,Recall,s10,0
0,0,1,bm,Recall,s12,0
0,2,1,bm,Recall,s2,0
0.918295834,1.584962501,2,bm,Recall,s8,0.459147917
1,2,2,bm,Recall,s12,0.5
0,2,2,bm,Recall,s13,0
0,0,2,bm,Recall,s6,0
0,2,2,bm,Recall,s2,0
0,2,3,bm,Recall,s10,0
0,2,3,bm,Recall,s13,0
0,1.584962501,3,bm,Recall,s7,0
0,0,3,bm,Recall,s8,0
0,2,3,bm,Recall,s2,0
0,0,0,bn,Recall,s1,0
0,1,0,bn,Recall,s2,0
0,0,0,bn,Recall,s10,0
0,1,0,bn,Recall,s16,0
0,0,0,bn,Recall,s15,0
0.918295834,1.584962501,0,bn,Recall,s9,0.459147917
0,1.584962501,0,bn,Recall,s13,0
0,0,0,bn,Recall,s3,0
0,1,0,bn,Recall,s5,0
0,1.584962501,1,bn,Recall,s2,0
1,1,1,bn,Recall,s15,0.5
0.811278124,2,1,bn,Recall,s13,0.405639062
0,0,1,bn,Recall,s16,0
0,0,1,bn,Recall,s1,0
0.918295834,1.584962501,1,bn,Recall,s12,0.459147917
0,0,1,bn,Recall,s5,0
0,0,1,bn,Recall,s9,0
0,2,2,bn,Recall,s2,0
0.918295834,1.584962501,2,bn,Recall,s16,0.459147917
0,1,2,bn,Recall,s15,0
0,2,2,bn,Recall,s13,0
0,1,2,bn,Recall,s12,0
0,0,2,bn,Recall,s8,0
0,2,3,bn,Recall,s2,0
0,0,3,bn,Recall,s11,0
0,1,3,bn,Recall,s15,0
0,0,3,bn,Recall,s9,0
0.721928095,2.321928095,3,bn,Recall,s13,0.360964048
0,1,3,bn,Recall,s12,0
0,0,3,bn,Recall,s8,0
0,1,0,bo,Recall,s2,0
1,1,0,bo,Recall,s1,0.5
1.584962501,1.584962501,0,bo,Recall,s6,0.792481251
1.521928095,2.321928095,0,bo,Recall,s13,0.760964048
0,0,0,bo,Recall,s4,0
0,0,0,bo,Recall,s14,0
0,1,0,bo,Recall,s3,0
0,1,1,bo,Recall,s2,0
1.556656707,2.807354922,1,bo,Recall,s6,0.778328354
0,0,1,bo,Recall,s16,0
0,0,1,bo,Recall,s8,0
0,0,1,bo,Recall,s13,0
0,1,1,bo,Recall,s1,0
0,0,1,bo,Recall,s5,0
0,0,1,bo,Recall,s10,0
0,1,2,bo,Recall,s2,0
0,1,2,bo,Recall,s6,0
0,0,2,bo,Recall,s16,0
0,1,2,bo,Recall,s12,0
0,0,2,bo,Recall,s10,0
0,0,2,bo,Recall,s13,0
0,1,2,bo,Recall,s9,0
0.918295834,1.584962501,2,bo,Recall,s5,0.459147917
0,1,2,bo,Recall,s1,0
0,1,3,bo,Recall,s2,0
0,1,3,bo,Recall,s6,0
0,0,3,bo,Recall,s15,0
0,1.584962501,3,bo,Recall,s11,0
0,0,3,bo,Recall,s13,0
0,1,3,bo,Recall,s9,0
0,0,3,bo,Recall,s11,0
0,1,3,bo,Recall,s1,0
0,1,3,bo,Recall,s5,0
